id         ,dataset_id ,name                                                                                                ,data_type                                         ,definition                                                                                                                                                                                                                                                      ,is_pii,sample_data                                                                                                                                                                                                                                                     
       1181,         34,ORDER_NO                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1182,         34,RELEASE_NO                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1183,         34,SEQUENCE_NO                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1184,         34,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1185,         34,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1186,         34,ORG_START_DATE                                                                                      ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1187,         34,ORG_QTY_DUE                                                                                         ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1188,         34,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1189,         35,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1190,         35,CODE_PART                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1191,         35,CODE_PART_VALUE                                                                                     ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1192,         35,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1193,         36,ACTIVITY_SEQ                                                                                        ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1194,         36,PROJECT_ID                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1195,         36,SUB_PROJECT_ID                                                                                      ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1196,         36,ACTIVITY_NO                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1197,         36,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1198,         37,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1199,         37,EMP_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1200,         37,PERSON_ID                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1201,         37,EXPIRE_DATE                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1202,         38,CUSTOMER_NO                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1203,         38,NAME                                                                                                ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1204,         38,CATEGORY                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1205,         38,CURRENCY_CODE                                                                                       ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1206,         39,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1207,         39,MCH_CODE                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1208,         39,MCH_NAME                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1209,         39,GROUP_ID                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1210,         39,SERIAL_NO                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1211,         40,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1212,         40,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1213,         40,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1214,         40,UNIT_MEAS                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1215,         40,TYPE_CODE                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1216,         41,PROJECT_ID                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1217,         41,NAME                                                                                                ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1218,         41,MANAGER                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1219,         41,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1220,         41,PLAN_START                                                                                          ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1221,         41,PLAN_FINISH                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1222,         42,SUPPLIER_ID                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1223,         42,NAME                                                                                                ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1224,         42,COUNTRY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1225,         43,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1226,         43,WORK_CENTER_NO                                                                                      ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1227,         43,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1228,         43,WORK_CENTER_CODE                                                                                    ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1229,         44,TransactionID                                                                                       ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1230,         44,Sector                                                                                              ,nvarchar(50)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1231,         44,CostCenter                                                                                          ,nvarchar(50)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1232,         44,Region                                                                                              ,nvarchar(50)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1233,         44,Amount                                                                                              ,decimal                                           ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1234,         44,Date                                                                                                ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1235,         45,id                                                                                                  ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1236,         45,CUSTOMER_NO                                                                                         ,varchar(20)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1237,         45,NAME                                                                                                ,varchar(100)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1238,         45,CATEGORY                                                                                            ,varchar(20)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1239,         45,effective_date                                                                                      ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1240,         45,expiry_date                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1241,         45,is_current                                                                                          ,bit                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                

(244 rows affected)
